Process_ID,Process_Name,Department,Task_Name,Duration_Hours,Cost_USD,Responsible,Status,Start_Date,End_Date,Error_Rate
693,Customer Onboarding,Finance,Requirements Gathering,2,76,Alice Smith,In Progress,2023-07-27,,7.851551039316843
441,Product Launch,Marketing,Requirements Gathering,20,420,John Green,Pending,2023-10-04,,1.6058867269418042
740,Customer Onboarding,Finance,Job Posting,15,1050,Jane Black,In Progress,2023-05-30,,6.20383520010116
433,Customer Onboarding,IT,Collect Documents,9,711,Alex White,Pending,2023-06-16,,0.8266567490855969
631,Customer Onboarding,HR,Conduct Interviews,1,96,Bob Brown,In Progress,2023-01-05,,2.831766311837339
208,Customer Onboarding,HR,Product Design,16,544,Jane Doe,Completed,2023-11-07,2023-11-07 16:00:00,7.941363484122802
494,Product Launch,Sales,Initial Contact,5,450,Bob Black,In Progress,2023-03-26,,7.703467078534145
967,Software Development,IT,Testing,9,783,Alex Doe,In Progress,2023-03-05,,3.849269100854941
391,Employee Recruitment,HR,Conduct Interviews,2,128,Charlie Brown,Pending,2023-09-27,,2.407654541724744
550,Invoice Processing,Marketing,Initial Contact,17,1700,Alice Doe,Pending,2023-01-16,,3.4915326207855877
365,Invoice Processing,IT,Initial Contact,8,584,John White,Pending,2023-08-02,,3.502326617200252
128,Employee Recruitment,Finance,Initial Contact,18,1440,Charlie White,In Progress,2023-04-14,,1.5959641184084117
753,Employee Recruitment,HR,Receive Invoice,11,572,Charlie Doe,In Progress,2023-03-08,,4.458301679616895
125,Customer Onboarding,Sales,Collect Documents,7,448,Alex Black,Pending,2023-06-13,,4.696988384652393
181,Invoice Processing,HR,Testing,17,663,Jane Black,Completed,2023-08-31,2023-08-31 17:00:00,2.9346804510737057
79,Employee Recruitment,HR,Job Posting,14,350,Alex Black,Completed,2023-03-14,2023-03-14 14:00:00,9.061311414456455
709,Invoice Processing,Sales,Coding,9,153,Bob Black,In Progress,2023-01-28,,7.761945899828899
829,Invoice Processing,IT,Market Research,11,836,Jane White,In Progress,2023-06-09,,8.899636680416144
732,Software Development,HR,Review Documents,15,1440,Jane Black,Completed,2023-10-16,2023-10-16 15:00:00,1.066499004904753
925,Product Launch,IT,Conduct Interviews,3,114,Jane Brown,Completed,2023-06-07,2023-06-07 03:00:00,9.594795023288258
186,Customer Onboarding,Marketing,Collect Documents,12,1008,Bob Doe,In Progress,2023-04-24,,6.2946605169468315
181,Software Development,Sales,Approve Invoice,2,124,Bob Black,Completed,2023-12-13,2023-12-13 02:00:00,2.397736049231789
427,Invoice Processing,Finance,Collect Documents,13,455,Bob Green,Pending,2023-02-17,,3.655187055271576
581,Invoice Processing,IT,Receive Invoice,1,97,Jane Black,In Progress,2023-12-13,,5.118664996587478
510,Software Development,Sales,Screen Candidates,8,224,Bob Smith,Completed,2023-06-08,2023-06-08 08:00:00,2.9832463523878583
465,Software Development,Marketing,Collect Documents,2,150,Jane Brown,In Progress,2023-04-11,,8.270909039439502
406,Software Development,Finance,Coding,7,259,Alice White,Completed,2023-12-06,2023-12-06 07:00:00,4.969486886381413
874,Software Development,Marketing,Testing,20,1040,Alex White,In Progress,2023-01-24,,8.363093792102873
141,Employee Recruitment,HR,Testing,18,486,Alice Brown,Pending,2023-05-29,,9.613192001779616
305,Product Launch,HR,Screen Candidates,19,817,John Doe,Completed,2023-03-13,2023-03-13 19:00:00,6.257013213652931
419,Software Development,Finance,Requirements Gathering,20,1720,Jane Black,Completed,2023-02-18,2023-02-18 20:00:00,4.57742160139767
670,Employee Recruitment,Marketing,Approve Invoice,11,209,Bob Black,Pending,2023-05-23,,6.6593385895911315
40,Invoice Processing,HR,Market Research,2,120,Bob Green,Pending,2023-02-05,,0.19985752398407275
528,Employee Recruitment,HR,Conduct Interviews,12,300,John White,Pending,2023-09-05,,5.926008372073246
903,Product Launch,Sales,Coding,7,266,Alice Black,Completed,2023-10-12,2023-10-12 07:00:00,2.186814477623619
739,Employee Recruitment,Finance,Receive Invoice,19,1710,Alex Green,Completed,2023-12-12,2023-12-12 19:00:00,0.8572849798439186
181,Customer Onboarding,Sales,Approve Invoice,17,1615,John Smith,In Progress,2023-12-28,,6.918744344532301
121,Employee Recruitment,Finance,Receive Invoice,19,570,Bob White,In Progress,2023-02-02,,6.438814253600437
72,Product Launch,IT,Coding,3,255,Charlie White,Pending,2023-07-09,,6.117555987495064
277,Product Launch,HR,Testing,7,574,Alex Black,Pending,2023-06-20,,9.621532054832286
699,Invoice Processing,Sales,Requirements Gathering,11,704,John Doe,Completed,2023-04-09,2023-04-09 11:00:00,5.236760635268379
674,Invoice Processing,HR,Collect Documents,15,1140,Alice Black,Completed,2023-06-28,2023-06-28 15:00:00,8.91863471515508
828,Invoice Processing,IT,Receive Invoice,8,464,Alex Brown,In Progress,2023-03-28,,8.049758204456536
439,Customer Onboarding,Finance,Launch Campaign,5,145,Jane White,Pending,2023-09-22,,0.6923800336672725
386,Product Launch,IT,Conduct Interviews,18,1422,Jane Black,Pending,2023-01-09,,3.753601343656573
270,Product Launch,Sales,Conduct Interviews,3,216,Bob White,Completed,2023-10-28,2023-10-28 03:00:00,8.032929486994062
464,Software Development,Sales,Initial Contact,18,1368,Bob Black,In Progress,2023-09-27,,8.260084045127313
696,Software Development,Sales,Job Posting,1,28,Bob White,Pending,2023-12-12,,0.7516629795789376
477,Customer Onboarding,IT,Review Documents,8,624,John Green,Completed,2023-05-31,2023-05-31 08:00:00,2.2619776041858577
174,Invoice Processing,Finance,Initial Contact,10,980,Alex Brown,Pending,2023-12-16,,1.0973822694798663
511,Customer Onboarding,IT,Collect Documents,12,756,Bob White,Pending,2023-06-23,,2.1505403319371785
35,Product Launch,Marketing,Receive Invoice,20,1160,Alice Black,Completed,2023-07-07,2023-07-07 20:00:00,0.22738082606365562
56,Product Launch,Finance,Approve Invoice,16,192,Charlie White,Pending,2023-01-06,,0.16541529859859572
258,Employee Recruitment,Finance,Launch Campaign,17,187,Bob White,In Progress,2023-03-20,,6.586287756368311
162,Product Launch,Marketing,Review Documents,13,741,Charlie White,Pending,2023-03-20,,7.102702151418806
223,Customer Onboarding,Marketing,Market Research,14,140,John Smith,Completed,2023-07-10,2023-07-10 14:00:00,2.146909056540932
193,Invoice Processing,Sales,Coding,14,462,Charlie White,In Progress,2023-12-21,,2.6310498618552582
628,Employee Recruitment,HR,Conduct Interviews,13,416,Alice Black,Completed,2023-06-27,2023-06-27 13:00:00,6.027542731956219
28,Customer Onboarding,Sales,Review Documents,6,348,Bob Brown,Pending,2023-10-02,,9.728583446663489
669,Invoice Processing,Marketing,Product Design,9,468,John Black,Completed,2023-10-06,2023-10-06 09:00:00,9.870527131236638
97,Software Development,IT,Job Posting,6,570,Alex Brown,Completed,2023-12-30,2023-12-30 06:00:00,3.1261993503434082
764,Software Development,Marketing,Approve Invoice,4,368,Jane Smith,Pending,2023-01-09,,2.419576422897012
600,Customer Onboarding,IT,Receive Invoice,11,121,Charlie White,In Progress,2023-10-29,,5.909510563176101
910,Employee Recruitment,Finance,Coding,5,495,John White,Pending,2023-03-15,,3.5208162324232486
843,Customer Onboarding,Marketing,Review Documents,17,170,Bob Smith,Completed,2023-09-18,2023-09-18 17:00:00,2.6374369696437814
632,Software Development,Finance,Verify Invoice,1,17,Alex Doe,In Progress,2023-03-09,,5.454531359851938
186,Employee Recruitment,Marketing,Requirements Gathering,5,440,Charlie White,In Progress,2023-07-01,,9.863926053602928
139,Employee Recruitment,IT,Initial Contact,10,660,Alex Green,Completed,2023-11-07,2023-11-07 10:00:00,1.6836869843587066
2,Customer Onboarding,HR,Approve Invoice,20,1800,Alice Doe,In Progress,2023-11-12,,9.419851036768499
660,Employee Recruitment,Finance,Verify Invoice,4,296,Alice Green,Pending,2023-09-17,,8.72061165205188
702,Employee Recruitment,Marketing,Launch Campaign,9,288,Jane Green,Pending,2023-10-26,,0.4522665604478704
402,Product Launch,Marketing,Job Posting,2,184,John Black,Completed,2023-11-16,2023-11-16 02:00:00,5.032081781196522
147,Invoice Processing,HR,Review Documents,2,196,Charlie White,Completed,2023-03-10,2023-03-10 02:00:00,0.6336812349541765
335,Software Development,Finance,Verify Invoice,18,630,John Green,In Progress,2023-12-30,,7.425940481130423
663,Employee Recruitment,Marketing,Testing,14,210,Jane White,Pending,2023-01-03,,7.9264427955490895
245,Software Development,Marketing,Review Documents,20,320,Alice Doe,In Progress,2023-10-19,,2.0426585824672383
323,Software Development,Sales,Receive Invoice,19,1026,Jane Green,Completed,2023-12-09,2023-12-09 19:00:00,9.708003859458449
926,Product Launch,HR,Conduct Interviews,1,10,Alice Brown,Pending,2023-06-12,,6.786378766225419
487,Customer Onboarding,Sales,Conduct Interviews,5,400,Jane Doe,Completed,2023-03-21,2023-03-21 05:00:00,9.713640304051411
102,Software Development,Marketing,Product Design,8,232,John Doe,Completed,2023-11-03,2023-11-03 08:00:00,5.112194717099351
448,Product Launch,HR,Verify Invoice,15,510,Charlie Smith,Pending,2023-09-19,,6.564905260809146
906,Software Development,IT,Conduct Interviews,8,296,Bob Brown,Completed,2023-01-03,2023-01-03 08:00:00,6.119566199358145
953,Employee Recruitment,Finance,Screen Candidates,19,1710,Jane Doe,Pending,2023-02-06,,8.622031700806964
711,Employee Recruitment,Sales,Receive Invoice,16,1216,John Doe,Completed,2023-09-09,2023-09-09 16:00:00,8.203661630067538
556,Product Launch,HR,Approve Invoice,10,870,Jane White,In Progress,2023-07-19,,1.13645498148233
204,Product Launch,IT,Market Research,1,91,Bob Green,Pending,2023-07-07,,3.981459319221685
654,Software Development,Marketing,Requirements Gathering,6,414,Jane Black,Completed,2023-02-23,2023-02-23 06:00:00,0.2910486382220989
420,Employee Recruitment,Sales,Collect Documents,19,266,Bob Smith,Completed,2023-07-13,2023-07-13 19:00:00,9.807824005190287
992,Customer Onboarding,HR,Coding,9,342,Alice Black,In Progress,2023-01-28,,2.9378339712210977
50,Product Launch,Sales,Testing,9,891,Charlie Green,Pending,2023-01-12,,3.782934922729344
265,Software Development,HR,Receive Invoice,14,210,Jane Black,In Progress,2023-06-02,,4.418331086947166
413,Product Launch,IT,Product Design,19,950,Charlie Brown,Completed,2023-03-29,2023-03-29 19:00:00,3.5317030501820423
96,Product Launch,Sales,Job Posting,16,208,Charlie White,In Progress,2023-02-11,,3.3011874059518123
210,Product Launch,Finance,Review Documents,4,188,John Brown,Completed,2023-09-25,2023-09-25 04:00:00,1.640166166412178
865,Product Launch,Finance,Initial Contact,7,336,Bob Brown,Completed,2023-03-30,2023-03-30 07:00:00,4.994666955838317
555,Product Launch,Finance,Market Research,20,740,Charlie Green,In Progress,2023-12-15,,8.383099062008222
751,Invoice Processing,Marketing,Market Research,19,1102,Bob Green,In Progress,2023-08-01,,6.665008572642652
548,Customer Onboarding,IT,Market Research,16,256,John Doe,Completed,2023-03-23,2023-03-23 16:00:00,1.4498258624232307
984,Invoice Processing,Finance,Market Research,7,455,Charlie White,Completed,2023-10-25,2023-10-25 07:00:00,9.391524409431007
352,Employee Recruitment,HR,Verify Invoice,2,190,Bob Black,Pending,2023-01-03,,1.772182902370072
701,Customer Onboarding,Finance,Requirements Gathering,13,741,Charlie Doe,Completed,2023-09-05,2023-09-05 13:00:00,2.4473279882459096
359,Invoice Processing,Finance,Receive Invoice,4,100,Bob Green,Completed,2023-12-25,2023-12-25 04:00:00,0.03741464644916537
372,Software Development,IT,Receive Invoice,1,85,Alex Black,In Progress,2023-02-23,,9.925082491015326
660,Invoice Processing,Finance,Initial Contact,17,289,Bob Smith,Pending,2023-03-14,,0.13821805247330565
434,Product Launch,HR,Job Posting,3,177,John Brown,Completed,2023-08-14,2023-08-14 03:00:00,0.22769274124878724
688,Product Launch,IT,Job Posting,19,760,Jane Smith,Pending,2023-05-27,,7.467033949971085
881,Customer Onboarding,IT,Receive Invoice,12,648,Alex White,In Progress,2023-04-21,,2.626871408191307
674,Employee Recruitment,Finance,Collect Documents,9,477,Alice Black,In Progress,2023-03-16,,4.015713130147716
356,Software Development,HR,Collect Documents,15,1095,Alex Smith,Pending,2023-05-24,,9.247689730118488
960,Customer Onboarding,HR,Testing,6,582,John Smith,In Progress,2023-05-02,,5.611230484283585
899,Invoice Processing,HR,Collect Documents,19,1425,Alex Brown,Completed,2023-02-25,2023-02-25 19:00:00,1.6398970232059051
344,Software Development,IT,Coding,11,451,Charlie Doe,Pending,2023-12-01,,3.2621233205102538
338,Customer Onboarding,HR,Approve Invoice,20,280,Alice Doe,Completed,2023-08-21,2023-08-21 20:00:00,4.446684458455997
766,Product Launch,Marketing,Job Posting,12,960,John White,Completed,2023-01-18,2023-01-18 12:00:00,4.359945681083723
461,Employee Recruitment,IT,Review Documents,17,1224,Bob White,Completed,2023-12-18,2023-12-18 17:00:00,4.0839029104105675
150,Invoice Processing,Finance,Verify Invoice,12,900,Jane Smith,Completed,2023-12-05,2023-12-05 12:00:00,2.33676894176042
334,Customer Onboarding,Marketing,Receive Invoice,17,1598,Charlie White,Pending,2023-11-14,,8.3942165488704
95,Software Development,Sales,Collect Documents,11,1089,Bob Doe,Pending,2023-06-18,,3.4688673334638755
55,Product Launch,HR,Screen Candidates,15,1395,Alex Doe,In Progress,2023-08-25,,7.785791833709119
129,Product Launch,IT,Approve Invoice,7,483,Jane Brown,In Progress,2023-04-15,,9.417035413839853
388,Software Development,Finance,Requirements Gathering,17,408,Charlie Brown,Completed,2023-11-25,2023-11-25 17:00:00,3.8041143749264315
775,Invoice Processing,Finance,Screen Candidates,11,1001,Charlie Green,Pending,2023-07-14,,0.8744096415305669
109,Customer Onboarding,HR,Launch Campaign,6,588,John Brown,Pending,2023-08-27,,5.3407652970138875
179,Customer Onboarding,IT,Job Posting,7,490,Jane Green,In Progress,2023-06-09,,9.20746087821202
568,Employee Recruitment,HR,Conduct Interviews,15,1110,John Black,Completed,2023-01-23,2023-01-23 15:00:00,3.4960169226545346
306,Software Development,Marketing,Collect Documents,4,240,Alex White,In Progress,2023-10-21,,8.124443244702292
830,Employee Recruitment,HR,Review Documents,19,817,Alice Black,Completed,2023-12-21,2023-12-21 19:00:00,5.825673027203232
4,Employee Recruitment,Finance,Market Research,20,960,Alice White,In Progress,2023-04-08,,1.2760757902531128
845,Product Launch,Marketing,Initial Contact,3,270,John Black,Completed,2023-06-06,2023-06-06 03:00:00,6.07929045965235
862,Software Development,Marketing,Product Design,2,28,Jane Doe,Pending,2023-01-04,,6.898202787004275
918,Employee Recruitment,IT,Collect Documents,12,888,Jane Smith,Completed,2023-05-18,2023-05-18 12:00:00,0.46628848441031434
464,Customer Onboarding,Marketing,Review Documents,19,1634,Alex Doe,Completed,2023-02-04,2023-02-04 19:00:00,8.823650025327666
685,Customer Onboarding,IT,Requirements Gathering,19,1520,John Doe,In Progress,2023-01-01,,9.98815362942204
277,Product Launch,Finance,Market Research,10,720,Alice White,Pending,2023-02-20,,9.083578079108717
448,Invoice Processing,IT,Receive Invoice,15,255,John White,Completed,2023-01-08,2023-01-08 15:00:00,0.9581850330556607
647,Customer Onboarding,Marketing,Screen Candidates,8,360,Charlie Black,Pending,2023-12-29,,4.181855353694191
791,Customer Onboarding,Finance,Launch Campaign,9,144,Charlie White,Pending,2023-02-16,,3.277160460656333
698,Product Launch,Finance,Initial Contact,13,533,Charlie Black,Completed,2023-02-08,2023-02-08 13:00:00,4.9136190790236824
590,Employee Recruitment,Finance,Job Posting,8,672,Alex Doe,Completed,2023-06-19,2023-06-19 08:00:00,7.914180088727151
45,Software Development,Sales,Requirements Gathering,13,741,Bob Smith,Pending,2023-07-05,,5.112686738640596
563,Product Launch,Marketing,Initial Contact,14,196,John Brown,Pending,2023-07-05,,9.37414034767536
649,Employee Recruitment,Finance,Screen Candidates,17,1292,Bob Smith,In Progress,2023-08-14,,1.9492858224600906
28,Invoice Processing,Marketing,Approve Invoice,2,38,Bob Smith,In Progress,2023-11-03,,2.962335977367061
304,Employee Recruitment,IT,Receive Invoice,7,413,Bob Green,In Progress,2023-11-14,,1.3529957156998818
262,Employee Recruitment,Sales,Receive Invoice,8,448,John Smith,In Progress,2023-10-16,,8.066242204282336
56,Software Development,HR,Testing,20,860,Bob Black,In Progress,2023-12-07,,4.32116718780132
271,Invoice Processing,HR,Product Design,11,1012,Alex Smith,Completed,2023-09-26,2023-09-26 11:00:00,5.7632628092444715
926,Invoice Processing,Sales,Collect Documents,7,665,Jane Doe,Pending,2023-09-06,,7.886108274139385
733,Employee Recruitment,Marketing,Conduct Interviews,4,360,Charlie Smith,Pending,2023-06-20,,2.652055391731931
873,Customer Onboarding,Sales,Requirements Gathering,11,979,John Doe,In Progress,2023-06-16,,5.142879363200535
347,Employee Recruitment,HR,Receive Invoice,11,671,Jane Brown,In Progress,2023-12-05,,3.464853937519007
889,Employee Recruitment,HR,Screen Candidates,18,1026,Jane White,Completed,2023-10-23,2023-10-23 18:00:00,5.849073548620318
74,Product Launch,Sales,Collect Documents,15,1005,Jane Brown,Completed,2023-10-04,2023-10-04 15:00:00,0.7990671954941198
420,Customer Onboarding,IT,Screen Candidates,16,912,Alice Black,Completed,2023-10-28,2023-10-28 16:00:00,9.217888236033332
942,Employee Recruitment,IT,Market Research,13,364,Bob Smith,Pending,2023-07-19,,5.26255868307178
546,Software Development,Finance,Verify Invoice,8,648,Jane Brown,Pending,2023-10-07,,8.958923698072134
981,Employee Recruitment,Finance,Requirements Gathering,4,336,Bob Smith,Pending,2023-12-26,,3.184342836982925
531,Product Launch,HR,Launch Campaign,14,322,Alice Green,Pending,2023-05-31,,0.9999987303479796
352,Product Launch,Finance,Collect Documents,11,847,Bob Smith,Completed,2023-12-09,2023-12-09 11:00:00,3.7137671221568236
767,Invoice Processing,Finance,Approve Invoice,10,960,Bob Smith,Pending,2023-07-23,,9.50023709591358
63,Product Launch,Finance,Market Research,19,608,Jane Brown,Pending,2023-03-18,,4.289404129087866
292,Product Launch,IT,Screen Candidates,6,66,John Smith,Completed,2023-07-19,2023-07-19 06:00:00,6.674479329109801
207,Software Development,IT,Receive Invoice,6,120,Charlie Black,In Progress,2023-05-28,,7.833786164450666
766,Product Launch,Sales,Verify Invoice,14,490,Alex Green,Completed,2023-06-29,2023-06-29 14:00:00,9.358475378652916
628,Customer Onboarding,Sales,Launch Campaign,4,324,Charlie Green,Completed,2023-05-22,2023-05-22 04:00:00,1.21839146187243
970,Customer Onboarding,Marketing,Coding,12,720,Jane Brown,Completed,2023-02-15,2023-02-15 12:00:00,2.4534972516035913
404,Software Development,Finance,Conduct Interviews,5,140,Charlie White,Completed,2023-06-16,2023-06-16 05:00:00,0.49073167557569186
741,Software Development,HR,Approve Invoice,7,77,John Brown,Completed,2023-02-15,2023-02-15 07:00:00,6.9305361292251435
880,Customer Onboarding,HR,Screen Candidates,2,54,Bob Black,Pending,2023-02-04,,0.15209984062195092
714,Software Development,Marketing,Screen Candidates,17,1122,Bob Smith,In Progress,2023-05-31,,2.7515455043293113
952,Product Launch,Marketing,Approve Invoice,20,1040,Alice Doe,Pending,2023-09-28,,6.719008523008231
628,Software Development,Sales,Market Research,16,1232,John Brown,In Progress,2023-11-10,,7.508017469729641
788,Employee Recruitment,HR,Review Documents,10,400,John Black,Completed,2023-07-13,2023-07-13 10:00:00,7.409756714165686
62,Employee Recruitment,Marketing,Initial Contact,19,1349,Jane Doe,Completed,2023-08-18,2023-08-18 19:00:00,5.590091469092626
420,Product Launch,Marketing,Coding,5,275,Alex White,Completed,2023-11-08,2023-11-08 05:00:00,7.9002988348894485
822,Customer Onboarding,IT,Testing,3,120,Alex Green,Pending,2023-10-25,,0.8134677844817761
743,Customer Onboarding,IT,Collect Documents,12,168,Charlie Doe,In Progress,2023-02-06,,6.643057993695399
968,Software Development,Finance,Review Documents,1,21,Charlie Smith,Pending,2023-07-05,,3.3857698278138413
831,Customer Onboarding,HR,Review Documents,1,45,John Brown,In Progress,2023-09-14,,9.220106903332237
392,Invoice Processing,IT,Requirements Gathering,16,1360,Alice Smith,Pending,2023-11-06,,6.551266091410977
132,Invoice Processing,Marketing,Job Posting,12,816,Charlie Green,In Progress,2023-06-11,,0.9814885675922247
297,Software Development,Sales,Initial Contact,1,62,Alice Doe,In Progress,2023-10-12,,1.8868913443598212
37,Employee Recruitment,Marketing,Review Documents,5,280,Alice Green,Pending,2023-06-12,,0.20914438513239597
93,Employee Recruitment,Sales,Requirements Gathering,14,1218,John Green,Pending,2023-11-29,,0.6670841942676065
799,Invoice Processing,IT,Coding,13,767,Alex Black,Pending,2023-03-17,,8.195970664140702
733,Customer Onboarding,Sales,Screen Candidates,20,1060,Charlie Black,In Progress,2023-01-21,,6.861981429053503
673,Employee Recruitment,IT,Testing,16,1488,Bob Brown,Pending,2023-11-02,,7.910177571516678
592,Software Development,Sales,Conduct Interviews,9,441,John Smith,In Progress,2023-04-17,,0.4193335843323187
635,Customer Onboarding,Sales,Testing,12,204,Jane Green,In Progress,2023-02-17,,2.966684455124504
767,Employee Recruitment,IT,Coding,11,572,Jane White,Pending,2023-08-01,,0.20774248162354736
871,Invoice Processing,Sales,Job Posting,6,204,Alice Black,Completed,2023-02-25,2023-02-25 06:00:00,8.580629270354654
453,Software Development,Finance,Review Documents,5,210,Bob Green,Completed,2023-12-21,2023-12-21 05:00:00,9.417616782793408
860,Software Development,Marketing,Approve Invoice,15,795,Jane Doe,Completed,2023-04-08,2023-04-08 15:00:00,9.898696147718969
927,Software Development,Marketing,Verify Invoice,12,552,John Green,In Progress,2023-02-08,,2.829288830831519
670,Invoice Processing,Marketing,Receive Invoice,15,1140,Bob White,Completed,2023-08-02,2023-08-02 15:00:00,6.487020139881499
497,Product Launch,Finance,Coding,8,744,John Doe,In Progress,2023-01-10,,6.253834956954149
639,Employee Recruitment,Marketing,Conduct Interviews,2,110,Bob White,Completed,2023-11-26,2023-11-26 02:00:00,2.2441268808898274
354,Invoice Processing,IT,Market Research,20,540,Alex Smith,Completed,2023-08-08,2023-08-08 20:00:00,1.2535644537226154
312,Product Launch,HR,Product Design,15,1065,Alice Black,In Progress,2023-12-01,,5.511953407694206
2,Product Launch,Sales,Product Design,17,901,Charlie Doe,Completed,2023-12-23,2023-12-23 17:00:00,7.358741731695312
839,Invoice Processing,Finance,Coding,18,900,Alex White,In Progress,2023-02-12,,3.340369257266534
841,Invoice Processing,HR,Requirements Gathering,17,1156,John Black,Completed,2023-09-12,2023-09-12 17:00:00,4.829112934025057
797,Product Launch,Finance,Collect Documents,10,260,Bob Smith,Pending,2023-11-19,,1.8018120871675436
122,Customer Onboarding,HR,Requirements Gathering,8,264,Alex White,Completed,2023-08-03,2023-08-03 08:00:00,3.379953452925081
928,Invoice Processing,HR,Screen Candidates,5,305,Charlie Green,Completed,2023-01-21,2023-01-21 05:00:00,2.2708310649746455
439,Employee Recruitment,Sales,Coding,19,1159,Jane White,In Progress,2023-11-16,,1.21752908880157
411,Software Development,IT,Receive Invoice,8,184,Alex Smith,Completed,2023-02-17,2023-02-17 08:00:00,6.703332879920469
497,Employee Recruitment,Marketing,Job Posting,20,1720,Charlie Smith,Completed,2023-05-27,2023-05-27 20:00:00,8.968254128133845
805,Employee Recruitment,HR,Testing,17,1241,Alice Doe,In Progress,2023-05-25,,0.9940629725848804
272,Employee Recruitment,IT,Job Posting,8,392,Charlie Smith,In Progress,2023-05-26,,3.2962832094093852
186,Invoice Processing,Finance,Conduct Interviews,2,188,Alice White,In Progress,2023-03-10,,8.591375351298456
320,Product Launch,HR,Job Posting,3,267,Bob Smith,Completed,2023-08-13,2023-08-13 03:00:00,4.619378195895272
775,Software Development,Sales,Market Research,9,261,John Green,Pending,2023-04-12,,0.3178439921001608
664,Customer Onboarding,IT,Receive Invoice,12,336,Alex Black,In Progress,2023-11-03,,0.7031285089653294
214,Employee Recruitment,Sales,Product Design,4,52,Bob White,In Progress,2023-04-17,,7.069520746056317
722,Customer Onboarding,IT,Job Posting,6,264,Alice White,In Progress,2023-09-20,,4.10153190982817
866,Software Development,HR,Testing,20,1320,Bob Doe,Completed,2023-08-08,2023-08-08 20:00:00,8.837501944470391
150,Employee Recruitment,IT,Job Posting,12,228,Bob Smith,Pending,2023-03-22,,1.128923933484045
439,Employee Recruitment,Sales,Approve Invoice,5,250,Charlie Black,Pending,2023-12-31,,9.694873420028632
